Area,latitude,longitude
Isa Town,26.1679752,50.5564742
Janabiya,26.182208,50.4657913
Jannusan,26.2261506,50.4954495
Jeblat Hebshi,26.213229,50.5277915
Jid Ali,26.1788716,50.5627399
Jidhafs,26.2172955,50.5369636
Jurdab,26.1682171,50.5718038
"Karbabad, Manama",26.2305359,50.5277915
Karzakkan,26.1106396,50.4747594
Maameer,26.1346774,50.6132554
"Mahooz, Manama",26.2079104,50.5873449
Malkiyah,26.0996229,50.4851777
Manama,26.2235305,50.5875935
"Manama Downtown, Manama",26.2221879,50.6127638
"Manama Sea Front, Manama",26.248185,50.5705088
"Manama Souq, Manama",26.2303423,50.5766545
Maqabah,26.2113207,50.4954495
"Marassi Al Bahrain, Diyar Al Muharraq",26.303574,50.6452211
"Marassi Boulevard, Diyar Al Muharraq",26.3066849,50.6421195
"Marassi Park Residences, Diyar Al Muharraq",26.3073716,50.6459343
"Marassi Residences, Diyar Al Muharraq",26.3054646,50.6427643
"Marassi Shores Residences, Diyar Al Muharraq",26.3052603,50.6461086
"Mozoon, Diyar Al Muharraq",26.3083204,50.6320756
Muharraq,26.2534919,50.60825579999999
"Murjan 1 (Phase 1 and 2), Durrat Al Bahrain",25.8334352,50.6139033
"Murjan, Amwaj Islands",26.291111,50.665278
Nabih Saleh,26.1823274,50.58475439999999
"Najma, Amwaj Islands",26.291111,50.665278
"North Riffa, Riffa",26.1412721,50.54316439999999
Northern City (Madinat Salman),26.2323543,50.4547122
Nuwaidrat,26.1345525,50.5938215
"Ras Rumman, Manama",26.2342784,50.58475439999999
Reef Island,26.2413109,50.5620954
Riffa,26.1333035,50.5379493
"Riffa Al Sharqi, Riffa",26.1220143,50.5719907
"Riffa Views, Riffa",26.1013665,50.5645531
Saar,26.1978657,50.4946846
Sadad,26.0841581,50.4922878
Salmabad,26.1855805,50.5270743
"Salmaniya, Manama",26.2210076,50.5743937
Samaheej,26.281668,50.6352878
"Sanabis, Manama",26.2261928,50.5452457
Sanad,26.1502768,50.58312369999999
"Saraya 2, Bu Quwah",26.1934695,50.513868
"Saraya al Bahar, Amwaj Islands",26.291111,50.665278
Seef,26.2419202,50.5382302
"Segaya, Manama",26.2169045,50.5769837
Sehla,26.2017108,50.5303796
Shakhura,26.209757,50.5057971
Sitra,26.1650187,50.614186
"Tala Island, Amwaj Islands",26.3000254,50.6631635
Tashan,26.2100784,50.5465576
"The Address Residences, Diyar Al Muharraq",26.3014767,50.6433514
"The Lagoon, Amwaj Islands",26.2869425,50.6636001
"The Treasure, Dilmunia Island",26.2691863,50.6769011
Tubli,26.1900349,50.55660109999999
"Um Al Hasam, Manama",26.2030185,50.5951169
Wahat Al Muharraq,26.2805586,50.6462144
"Water Garden City, Manama",26.2425471,50.5538191
"West Riffa, Riffa",26.1227284,50.5413632
Zallaq,26.0490701,50.4884244
"Zinj, Manama",26.210984,50.56335439999999
"alnaim, Manama",26.2283688,50.5666242
Dumistan,26.125576,50.4774483
